children,days_employed,dob_years,education,education_id,family_status,family_status_id,gender,income_type,debt,total_income,purpose
1,-8437.673028,42,higher,0,married,0,F,employee,0,3173.45,house purchase
1,-4024.803754,36,secondary,1,married,0,F,employee,0,1401,car purchase
0,-5623.42261,33,Secondary,1,married,0,M,employee,0,1823.57,house purchase
3,-4124.747207,32,secondary,1,married,0,M,employee,0,3345.36,further education
0,340266.072,53,secondary,1,civil marriage,1,F,retiree,0,1982.7,money for the wedding
0,-926.1858309,27,higher,0,civil marriage,1,M,companion,0,3197.04,house purchase
0,-2879.202052,43,higher,0,married,0,F,companion,0,3006.57,real estate transaction
0,-152.7795692,50,SECONDARY,1,married,0,M,employee,0,1697.8,education
2,-6929.865299,35,HIGHER,0,civil marriage,1,F,employee,0,1198.21,for weddings
0,-2188.756445,41,secondary,1,married,0,M,employee,0,1805.32,house buying for the family
2,-4171.483647,36,higher,0,married,0,M,companion,0,1424.29,real estate purchase
0,-792.7018871,40,secondary,1,married,0,F,employee,0,963.37,commercial real estate purchase
0,,65,secondary,1,civil marriage,1,M,retiree,0,,money for the wedding
0,-1846.641941,54,incomplete higher,2,married,0,F,employee,0,1630.73,car purchase
0,-1844.956182,56,higher,0,civil marriage,1,F,companion,1,2064.1,purchase of real estate
1,-972.364419,26,secondary,1,married,0,F,employee,0,1460.26,private real estate development
0,-1719.934226,35,secondary,1,married,0,F,employee,0,3615.03,real estate
0,-2369.99972,33,higher,0,civil marriage,1,M,employee,0,1130.13,real estate construction
0,400281.1369,53,secondary,1,widower/widow,2,F,retiree,0,710.3,used car purchase
0,-10038.81855,48,SECONDARY,1,divorced,3,F,employee,0,3035.39,to buy your own car
1,-1311.604166,36,secondary,1,married,0,M,employee,0,2619.41,real estate
1,-253.6851658,33,secondary,1,civil marriage,1,F,employee,0,1647.65,car purchase
1,-1766.644138,24,secondary,1,civil marriage,1,F,employee,0,1871.01,used car purchase
0,-272.981385,21,higher,0,civil marriage,1,M,employee,0,1603.32,money for the wedding
1,338551.9529,57,secondary,1,single,4,F,retiree,0,3631.84,commercial real estate transactions
0,363548.4893,67,secondary,1,married,0,M,retiree,0,688.91,real estate purchase
0,,41,secondary,1,married,0,M,civil servant,0,,education
0,-529.1916347,28,higher,0,married,0,M,employee,0,3860.61,private real estate development
1,-717.2743239,26,higher,0,married,0,F,employee,0,2348.29,private real estate development
0,,63,secondary,1,single,4,F,retiree,0,,residential real estate construction
1,335581.6685,62,secondary,1,married,0,F,retiree,0,2143.2,commercial real estate transactions
0,-1682.083438,47,elementary,3,married,0,F,employee,0,3443.57,housing
0,-4649.910832,34,SECONDARY,1,civil marriage,1,F,employee,1,1738.22,for weddings
0,-1548.637544,48,secondary,1,married,0,F,companion,0,1965.57,house purchase
0,-4488.067031,35,secondary,1,married,0,F,employee,0,1308.26,property transactions
0,394021.0722,68,secondary,1,civil marriage,1,M,retiree,0,972.57,for weddings
0,-176.2166883,33,secondary,1,single,4,M,employee,0,1735.38,cars
0,-6448.81086,43,HIGHER,0,civil marriage,1,F,companion,0,1926.61,car purchase
0,-597.8818273,25,higher,0,single,4,M,employee,1,2403.09,education
0,-650.5877964,31,higher,0,civil marriage,1,F,companion,0,9428.01,education
0,-1030.362606,30,secondary,1,single,4,M,companion,0,1785.82,real estate purchase
0,,50,secondary,1,married,0,F,civil servant,0,,dealing with a used car
0,-1257.49619,20,incomplete higher,2,single,4,F,employee,0,1025.81,education
0,-4375.681384,43,incomplete higher,2,divorced,3,F,companion,0,3411.96,car purchase
1,-1362.041728,26,SECONDARY,1,married,0,F,employee,0,1259.76,to buy your own car
1,-1039.451741,49,secondary,1,single,4,F,employee,0,1329.82,education
2,-2262.712304,37,secondary,1,married,0,F,companion,0,2283.53,dealing with a used car
1,-2689.137274,33,higher,0,civil marriage,1,M,civil servant,0,4453.47,for weddings
0,-3341.067886,45,secondary,1,married,0,F,employee,0,2025.82,private real estate development
0,-1181.443228,54,secondary,1,married,0,F,employee,0,557.4,car
0,353731.4323,63,secondary,1,married,0,F,retiree,0,1154.28,cars
1,-6953.631655,50,higher,0,civil marriage,1,F,employee,0,2540,wedding
1,-3554.671526,28,secondary,1,married,0,F,employee,0,659.33,getting additional education
0,-4219.883386,61,SECONDARY,1,divorced,3,F,companion,0,3893.17,house purchase
0,-3480.072793,27,higher,0,civil marriage,1,F,employee,0,1152.99,cars
0,,54,secondary,1,civil marriage,1,F,retiree,1,,money for the wedding
0,370145.0872,64,secondary,1,widower/widow,2,F,retiree,0,1864.26,education
0,-2424.809749,44,secondary,1,widower/widow,2,F,employee,0,732.71,education
0,-335.3186304,36,higher,0,married,0,M,employee,0,5180.05,real estate
0,-4341.786775,53,secondary,1,civil marriage,1,F,companion,0,3267.12,real estate transactions
1,-2534.46239,48,secondary,1,married,0,M,employee,0,1623.78,education
0,-2986.20212,42,secondary,1,civil marriage,1,F,employee,0,2174.84,real estate purchase
0,-7845.649233,48,Higher,0,single,4,M,civil servant,0,5442.35,higher education
0,-1182.547744,45,secondary,1,married,0,F,employee,0,1375.05,real estate transaction
0,-118.8914114,35,incomplete higher,2,single,4,M,employee,0,3536.26,dealing with a used car
0,,21,secondary,1,single,4,M,companion,0,,commercial real estate transactions
0,-916.4288293,28,secondary,1,married,0,M,employee,0,1815.18,education
0,,52,higher,0,married,0,F,retiree,0,,house buying for the family
2,-2152.475526,46,higher,0,married,0,M,companion,0,7400.89,commercial real estate transactions
0,-779.2284491,23,secondary,1,single,4,F,employee,0,1140.59,house purchase
